word,phonetic,translation,tag
間,かん,间，期间,n4
〜やすい,〜やすい,简单的，容易……的,n4
〜過ぎ,〜すぎ,超过……；过分……，过度……,n4
〜にくい,〜にくい,难……,n4
台,だい,（家具、汽车、机器等）……台，……辆；台子,n4
〜達,〜たち,（人的复数）……们,n4
〜中,〜じゅう,（附在表示年月、时间、地点的词语后）整整……，整个……,n4
度,ど,程度；……次；（角度，经纬度，温度等）……度,n4
〜杯,〜はい,……杯；计算船、章鱼、乌贼等的量词,n4
〜番目,〜ばんめ,第……号，第……个,n4
〜様,〜さま,（表达敬意）……先生，……女士,n4
あ,あ,（吃惊、感动）啊，呀；（打招呼）喂,n4
アイスクリーム,ice cream,冰激凌,n4
飴[あめ],あめ,糖果,n4
いや,いや,不，不是,n4
インターネット,internet,互联网,n4
カラオケ,からおけ,卡拉OK，KTV,n4
ごみ箱,ごみばこ,垃圾箱,n4
コンビニ,convenience store,便利店,n4
さあ,さあ,（催促或邀请别人）快，喂；（犹豫或感到为难时）唉,n4
ずつ,ずつ,每……,n4
スリッパ,slipper,（室内用）拖鞋,n4
ゼロ,zero,零，零点；什么都没有,n4
センチ,(フ) centimètre,厘米,n4
そうだ,そうだ,是啊，就是；（突然想到）对了,n4
その後,そのご,然后，从那以后,n4
蕎麦[そば],そば,荞麦面,n4
タバコ,(ポ) tabaco,烟草，香烟,n4
たぶん,たぶん,大概，大约,n4
チーズ,cheese,奶酪，芝士,n4
天ぷら,てんぷら,天妇罗（一种鱼和蔬菜等裹上面粉后油炸的食物）,n4
なる,なる,变成，成为；当,n4
ネクタイ,necktie,领带,n4
はく,はく,穿（下身衣物）,n4
ハンカチ,handkerchief,手帕,n4
ポスト,post,信箱；职位,n4
ボタン,button,纽扣；按钮,n4
みそ汁,みそしる,味噌汤,n4
ミルク,milk,牛奶,n4
ヨーロッパ,(ポ) Europa,欧洲,n4
悪い,わるい,坏的，不好的,n4
以外,いがい,以外,n4
以上,いじょう,以上,n4
以前,いぜん,以前，之前；（在某时期）以前,n4
以内,いない,以内，之内,n4
意味,いみ,意思；意图；价值,n4
易しい,やさしい,容易的，简单的,n4
違う,ちがう,不一样；错误,n4
引く,ひく,拉；减；画（线）；吸引,n4
運動,うんどう,运动,n4
運動会,うんどうかい,运动会,n4
運動場,うんどうじょう,运动场，操场,n4
駅前,えきまえ,（电车、地铁的）车站周边,n4
押す,おす,压，按；推,n4
温かい,あたたかい,温的；温暖的，热情的,n4
温泉,おんせん,温泉,n4
音,おと,（非生命物体发出的）声音,n4
下手,へた,不擅长，笨拙,n4
家具,かぐ,家具,n4
暇,ひま,（做某事的）时间；闲空，余暇,n4
課長,かちょう,课长，处长,n4
会議,かいぎ,会议,n4
会議室,かいぎしつ,会议室,n4
会話,かいわ,会话；对话，谈话,n4
開く,あく,打开；开始营业,n4
街,まち,大街,n4
角,かど,（道路等）拐角；（桌子等）棱角,n4
活動,かつどう,活动,n4
帰国,きこく,回国,n4
季節,きせつ,季节,n4
吸う,すう,吸；吮吸；吸收,n4
泣く,なく,哭，哭泣,n4
橋,はし,桥，桥梁,n4
興味,きょうみ,兴趣,n4
結構,けっこう,非常好；（表示拒绝）不需要，够了；可以，好；还不错,n4
嫌,いや,讨厌的，反感的,n4
嫌い,きらい,讨厌，不喜欢；（…のきらいがある）不好的倾向,n4
厳しい,きびしい,严格的，严厉的；厉害的，严峻的,n4
工場,こうじょう,工厂,n4
込む,こむ,（混）拥挤；（込）费事，精巧,n4
差す,さす,照射；撑，打；注入（液体）,n4
最初,さいしょ,第一，开始，最初,n4
祭り,まつり,祭祀，庙会，节日,n4
撮る,とる,照相，摄像,n4
使い方,つかいかた,用法,n4
思う,おもう,思考；认为,n4
指,ゆび,手指，脚趾,n4
死ぬ,しぬ,死亡,n4
次に,つぎに,接着，其次,n4
寂しい,さびしい,寂寞的，无聊的；荒凉的，冷清的,n4
弱い,よわい,弱的；不擅长的,n4
守る,まもる,遵守；保护,n4
手洗い,てあらい,洗手间；用手洗,n4
種類,しゅるい,种类,n4
酒,さけ,酒；酒量,n4
首,くび,脖子；颈；头,n4
週末,しゅうまつ,周末,n4
出かける,でかける,出门，出发,n4
春休み,はるやすみ,春假,n4
書き方,かきかた,写法,n4
消える,きえる,熄灭；消失,n4
象,ぞう,大象,n4
信じる,しんじる,相信，信赖；信仰,n4
心,こころ,心；心情；意愿,n4
申す,もうす,叫作,n4
真面目,まじめ,认真；老实,n4
つらい,つらい,难受的，艰苦的,n4
