word,phonetic,translation,tag
丸,まる,圆，圆形；句号,n2
ぎゅうぎゅう,ぎゅうぎゅう,满满地（装，塞）；紧紧地（勒），吱吱（作响）；痛斥,n2
明治,めいじ,（日本年号）明治,n2
党,とう,党羽，同伙；政党,n2
理系,りけい,理科,n2
貝,かい,贝；贝壳,n2
甘み,あまみ,甜味,n2
落ちこぼれ,おちこぼれ,撒出来的东西；成绩掉队的学生,n2
大盛り,おおもり,盛得很满；盛大碗,n2
うどん,うどん,乌冬面,n2
クリスマス,Christmas・Xmas,圣诞节,n2
石 鹸[けん],せっけん,肥皂,n2
だいぶ,だいぶ,很，相当,n2
ノートパソコン,notebook personal computer,笔记本电脑，笔电,n2
ばっちり,ばっちり,（俗语）漂亮地，确实地，充分地,n2
ビール,(オ) bier,啤酒,n2
警官,けいかん,警察，警官,n2
再来月,さらいげつ,下下个月,n2
再来年,さらいねん,后年,n2
縦,たて,纵，竖,n2
神,かみ,神，上帝,n2
数々,かずかず,种种，许多,n2
相撲,すもう,相扑（运动）,n2
地震,じしん,地震,n2
定価,ていか,规定的价格,n2
天候,てんこう,（相对较短的时间内）天气状况,n2
都市,とし,都市，城市,n2
年金,ねんきん,养老金,n2
麺,めん,面条,n2
寮,りょう,宿舍,n2
区,く,（表示行政区域）……区,n2
時間目,じかんめ,第……节课,n2
アフリカ,Africa,非洲,n2
あら,あら,（表示惊讶，女性用语）哎呀,n2
おかず,おかず,（米饭等主食的）配菜，菜肴,n2
お前,おまえ,（男性对同辈或晚辈的称呼）你,n2
かしこまる,かしこまる,恭敬，拘谨；知道了,n2
カレーライス,curry rice,咖喱饭,n2
ごくごく,ごくごく,咕嘟咕嘟地大口喝水时发出的声音,n2
こそこそ,こそこそ,（因害怕被责备而）偷偷摸摸地,n2
じりじり,じりじり,逐步逼近；焦躁不安；烈日炎炎,n2
スクリーン,screen,（电影等的）屏幕,n2
ソフト,soft,柔软；软件,n2
テニスコート,tennis court,网球场,n2
トンネル,tunnel,隧道,n2
バレーボール,volleyball,排球,n2
ハンバーガー,hamburger,汉堡,n2
びりびり,びりびり,撕纸或布的声音⓪；窗玻璃等细微震动的样子①；（皮肤触电般地）刺痛、麻痛①,n2
フルーツ,fruit,水果,n2
ほうれん草,ほうれんそう,菠菜,n2
もたもた,もたもた,磨蹭，拖拖拉拉,n2
やってくる,やってくる,朝这边过来，接近,n2
やりがい,やりがい,做的价值，做的意义,n2
リットル,(フ) litre,升,n2
わがまま,わがまま,任性，放肆,n2
わくわく,わくわく,（因期待或喜悦等）兴奋,n2
椀[わん],わん,碗，木碗,n2
移転,いてん,迁移，搬家,n2
一昨年,いっさくねん,前年,n2
応え,こたえ,回应，反应,n2
家事,かじ,家务,n2
革命,かくめい,革命,n2
割に,わりに,出乎意料，格外，比较,n2
喜び,よろこび,喜悦；恭喜,n2
気候,きこう,气候,n2
気体,きたい,气体,n2
汽車,きしゃ,蒸汽火车,n2
祈る,いのる,祈祷；祝愿,n2
喫煙,きつえん,吸烟，抽烟,n2
挙げる,あげる,举起；举行；列举；竭尽,n2
近頃,ちかごろ,近日，最近,n2
すく,すく,饥饿；稀疏，空旷,n2
空間,くうかん,空间,n2
係員,かかりいん,（专门负责某项业务）工作人员，负责人,n2
計る,はかる,（时间、数量等）计量,n2
言葉遣い,ことばづかい,用语，措辞,n2
虎,とら,老虎,n2
工学,こうがく,工学，工程学,n2
校長,こうちょう,（中小学的）校长,n2
高等,こうとう,（等级、品味、智能等的程度很高）高等,n2
合唱,がっしょう,合唱,n2
済ます,すます,使结束；（多く「…で済ます」の形で）将就，凑合,n2
作品,さくひん,（特指绘画、雕刻、音乐和文学等）作品,n2
始まり,はじまり,开始，起源,n2
姿,すがた,（人或物的）外形；穿着；身影；面貌,n2
指す,さす,（用手等）指；指名；朝向,n2
支社,ししゃ,分部，分公司,n2
詩,し,诗,n2
次回,じかい,下次，下回,n2
辞典,じてん,词典，辞典,n2
写真家,しゃしんか,摄影师,n2
社会人,しゃかいじん,（与学生相对）参加工作的人,n2
者,もの,人,n2
出会う,であう,遇见，遇到,n2
少なくとも,すくなくとも,至少，最起码,n2
植物,しょくぶつ,植物,n2
色鉛筆,いろえんぴつ,彩色铅笔,n2
食卓,しょくたく,餐桌,n2
世の中,よのなか,世间，社会,n2
成長,せいちょう,成长，发育；发展,n2
精神,せいしん,精神；意志；宗旨,n2
製造,せいぞう,制造，生产,n2
誠に,まことに,非常，十分,n2
昔話,むかしばなし,传说，故事,n2
造る,つくる,（大型建筑、桥梁、船舶、庭园、公园、酒等）造，建,n2
態度,たいど,态度，举止,n2
漬ける,つける,（漬）腌菜；（浸）浸泡,n2
漬物,つけもの,腌菜,n2
釣る,つる,钓；勾引，引诱,n2
庭園,ていえん,庭园,n2
泥棒,どろぼう,小偷,n2
電子辞書,でんしじしょ,电子词典,n2
倒す,たおす,弄倒；推翻,n2
桃,もも,桃子,n2
同僚,どうりょう,同僚，同事,n2
難くない,かたくない,不难,n2
任せる,まかせる,托付；任凭,n2
認める,みとめる,承认；允许，认可,n2
年度,ねんど,年度,n2
彼ら,かれら,他们，那些人,n2
不自由,ふじゆう,不自由，不方便，困苦,n2
ぶどう,ぶどう,葡萄,n2
豊か,ゆたか,丰富，富裕；饱满，丰满,n2
理解,りかい,理解；体谅,n2
離れる,はなれる,离，分离；离开，间隔,n2
冷房,れいぼう,制冷（设备）,n2
恋,こい,恋爱，爱情,n2
あいにく,あいにく,不凑巧，偏巧,n2
アクション,action,肢体动作，特指武打等演技,n2
アクセサリー,accessory,装饰品；零件,n2
あっという間,あっというま,眨眼间，转眼间,n2
あるいは,あるいは,或者,n2
いきなり,いきなり,冷不防，突然间,n2
