word,phonetic,translation,tag
換気扇,かんきせん,换气扇；抽油烟机,n3
キログラム,kilogram；(フ) kilogramme,千克，公斤,n3
キロメートル,(フ) kilomètre,……千米，……公里,n3
〜ら,〜ら,……们，……等,n3
〜末,〜まつ,……末，……尾,n3
あたし,あたし,（女性用语）我,n3
アメリカ,America,美洲；美国,n3
アルバム,album,相册，纪念册,n3
おっしゃる,おっしゃる,说，讲,n3
キロ,(フ) kilo,千,n3
コーラ,cola,可乐,n3
この前,このまえ,最近，之前；上次,n3
この辺,このへん,这附近,n3
ゴルフ,golf,高尔夫,n3
ショッピング,shopping,购物,n3
スープ,soup,汤,n3
すばらしい,すばらしい,出色的，优秀的,n3
スプーン,spoon,汤匙，勺子,n3
チーム,team,队，组,n3
テープ,tape,磁带，录音带；窄长的布、纸等,n3
ドリンク,drink,饮料,n3
のり,のり,糨糊，黏着剂,n3
バイク,bike,摩托车；自行车,n3
フォーク,fork,叉子,n3
ふらふら,ふらふら,（因无力而身体）晃悠，晕；游移不定；糊里糊涂,n3
ふるさと,ふるさと,故乡，家乡,n3
ポケット,pocket,口袋,n3
ポテト,potato,土豆，马铃薯,n3
マンション,mansion,（钢筋混凝土建造的）高级公寓，居民楼,n3
メールアドレス,mail address,邮箱地址,n3
ラジカセ,(和) radio＋cassette,收录音机,n3
飲食,いんしょく,饮食,n3
横断歩道,おうだんほどう,人行横道,n3
億,おく,亿,n3
俺,おれ,（非正式场合的男性自称）我,n3
家庭,かてい,家庭,n3
海外,かいがい,海外，国外,n3
滑る,すべる,滑行；打滑,n3
歓迎会,かんげいかい,迎新会,n3
企業,きぎょう,企业,n3
気温,きおん,气温,n3
記念品,きねんひん,纪念品,n3
銀行員,ぎんこういん,银行工作人员,n3
鶏肉,けいにく,鸡肉,n3
健康,けんこう,健康；健康的,n3
語,ご,单词，词语,n3
喉,のど,喉咙，嗓子,n3
今まで,いままで,至今为止,n3
咲く,さく,开花,n3
作家,さっか,作家,n3
自己,じこ,自己,n3
自動車,じどうしゃ,汽车,n3
社会,しゃかい,社会,n3
主人,しゅじん,一家之主；店主；丈夫,n3
出張,しゅっちょう,出差,n3
書類,しょるい,文件，资料,n3
小〜,こ〜,小……；稍微……,n3
丈夫,じょうぶ,健康，强壮；坚固，结实,n3
新鮮,しんせん,新鲜，鲜活,n3
数字,すうじ,数字,n3
洗濯機,せんたくき,洗衣机,n3
全員,ぜんいん,全体成员,n3
祖父母,そふぼ,祖父母,n3
太陽,たいよう,太阳,n3
代わり,かわり,代替，替代,n3
茶 碗[わん],ちゃわん,碗，茶杯，饭碗,n3
中華料理,ちゅうかりょうり,中国菜,n3
張る,はる,拉；挺；膨胀；覆盖；（肌肉）发酸,n3
田舎,いなか,乡下，农村；老家,n3
都会,とかい,都市，大城市,n3
豚肉,ぶたにく,猪肉,n3
二十歳,はたち,二十岁,n3
梅雨,つゆ,（从六月到七月持续下雨）梅雨季节,n3
博物館,はくぶつかん,博物馆,n3
皮,かわ,皮，表皮,n3
かぶる,かぶる,戴，盖；蒙受,n3
毎回,まいかい,每次，每回,n3
幼稚園,ようちえん,幼儿园,n3
浴衣,ゆかた,夏季简便和服，浴衣,n3
零,れい,零,n3
〜おき,〜おき,（时间、距离、数量等）每隔……,n3
学年,がくねん,学年；……年级,n3
〜建て,〜だて,……层楼,n3
県,けん,（表示行政区域的）……县,n3
〜軒,〜けん,（表示房屋）……所，……栋,n3
〜製,〜せい,（表示产地）……制造,n3
〜代,〜だい,……费；……时代；表示年龄范围,n3
島,とう,……岛,n3
〜頭,〜とう,（牛、马等）……头，匹；（昆虫）……只,n3
番線,ばんせん,……号线,n3
アジア,Asia,亚洲,n3
あちこち,あちこち,这边那边，到处,n3
あちらこちら,あちらこちら,这边那边，到处,n3
あっちこっち,あっちこっち,这边那边，到处,n3
アドレス,address,地址，住址,n3
アニメ,animation,动画片，动漫,n3
いくつか,いくつか,若干，几个,n3
イタリア,(ポ) Italia,意大利,n3
いつまでも,いつまでも,永远，始终,n3
インド,India,印度,n3
エネルギー,(ド) Energie,能源，能量；精力,n3
えび,えび,虾,n3
エンジン,engine,发动机，引擎,n3
おいでになる,おいでになる,来；去；在,n3
おかげ,おかげ,恩惠，托……的福；由于……的缘故,n3
オリンピック,Olympic,奥运会,n3
オレンジ,orange,橙子，柑橘,n3
お宅,おたく,您的家，贵府，贵公司；（オタク）专注于爱好和其他兴趣，不喜欢社交的人，御宅族,n3
お釣り,おつり,零钱,n3
お目にかかる,おめにかかる,见，见面，会见，拜会,n3
カーテン,curtain,窗帘,n3
ガス,(オ) gas,气体；煤气,n3
ガソリン,gasoline,汽油,n3
ガソリンスタンド,(和) gasoline＋stand,加油站,n3
かなり,かなり,（出乎意料）很，相当,n3
嚙[か]む,かむ,嚼，咬,n3
ガラス,(オ) glas,玻璃,n3
かわいそう,かわいそう,可怜的,n3
キッチン,kitchen,厨房,n3
きゅうり,きゅうり,黄瓜,n3
グラス,glass,玻璃杯,n3
クラスメート,classmate,同班同学,n3
こしょう,こしょう,胡椒,n3
ごちそう,ごちそう,款待，宴请；丰盛的酒菜,n3
この間,このあいだ,上次，不久以前,n3
これら,これら,这些,n3
ご存じ,ごぞんじ,您知道，您认识,n3
ご覧になる,ごらんになる,看,n3
サイズ,size,大小，尺寸,n3
さっき,さっき,刚才，方才,n3
さまざま,さまざま,各种各样，形形色色,n3
サンダル,sandal,凉鞋,n3
仕方ない,しかたない,没有办法的，不得已的,n3
しばらく,しばらく,（虽然时间不长，但也不是马上就能完成的样子）暂时，暂且；（经过了一段相当长的时间）许久，好久,n3
ステーキ,steak,牛排,n3
ストレス,stress,压力，紧张情绪,n3
すると,すると,于是；那么，那样的话,n3
咳[せき],せき,咳嗽,n3
センター,center,中心，中央,n3
そこで,そこで,因此，所以；（转移话题）那么,n3
そのため,そのため,因此，所以,n3
そのほか,そのほか,除此之外，另外,n3
それほど,それほど,那样地；（并非）那么地……,n3
ダイエット,diet,减肥，减重,n3
たいてい,たいてい,一般；大概，大致；（不）一般,n3
タイプ,type,类型；打字,n3
チェックイン,checkin,入住登记；（飞机）登机手续,n3
ちっとも,ちっとも,一点也（不）,n3
つまり,つまり,总之，归根结底；也就是说,n3
できるだけ,できるだけ,尽量，尽可能,n3
できれば,できれば,如果可以的话,n3
ドイツ,(ド) Deutschland,德国,n3
とうとう,とうとう,终于，终究,n3
ところで,ところで,（转换话题时）对了,n3
どのよう,どのよう,怎样的,n3
なるべく,なるべく,尽量，尽可能,n3
なるほど,なるほど,（正如所听说的）的确；（对对方说的话表示同意）原来如此,n3
海苔[のり],のり,海苔；紫菜,n3
はさみ,はさみ,剪刀,n3
パスポート,passport,护照,n3
バター,butter,黄油,n3
バッグ,bag,包,n3
パンダ,panda,熊猫,n3
ピンク,pink,粉红色，桃红色,n3
ほら,ほら,（用于提醒）喏，瞧,n3
レポート,report,（研究或调查内容汇总）报告；报告书,n3
レモン,lemon,柠檬,n3
わあ,わあ,（表示惊讶或吓人）哇,n3
ワイン,wine,葡萄酒，红酒,n3
偉い,えらい,伟大的，卓越的；高贵的；严重的；吃力的,n3
移す,うつす,移动；转移,n3
移る,うつる,移动；转移,n3
医学,いがく,医学,n3
一昨日,いっさくじつ,前天,n3
一生懸命,いっしょうけんめい,拼命，努力,n3
引っ越す,ひっこす,搬家，搬迁,n3
影響,えいきょう,影响,n3
液,えき,液体,n3
遠足,えんそく,郊游,n3
汚れ,よごれ,污垢，脏污,n3
奥様,おくさま,（对他人妻子的尊称）您夫人，您太太,n3
押し入れ,おしいれ,（日式）壁橱,n3
横断,おうだん,横断；横渡,n3
殴る,なぐる,殴打,n3
屋上,おくじょう,房顶，屋顶,n3
温める,あたためる,温，热，烫；酝酿,n3
温度,おんど,温度,n3
音楽家,おんがくか,音乐家,n3
下げる,さげる,降下；撤下；使后退,n3
下りる,おりる,下来；（许可等）批下来,n3
価格,かかく,价格,n3
家内,かない,（自己的）妻子,n3
科学,かがく,科学,n3
火事,かじ,火灾,n3
花束,はなたば,花束,n3
壊す,こわす,弄坏；伤害；破坏,n3
開始,かいし,开始,n3
学ぶ,まなぶ,学习,n3
学習,がくしゅう,学习,n3
学部,がくぶ,（大学）系，学院,n3
割る,わる,分，割；打坏，弄碎；兑水；除法,n3
乾く,かわく,变干，干燥,n3
患者,かんじゃ,患者，病人,n3
環境,かんきょう,环境,n3
看護師,かんごし,护士,n3
看板,かんばん,招牌,n3
観光,かんこう,观光，旅游,n3
機会,きかい,机会,n3
気を付ける,きをつける,小心，注意，警惕,n3
規則,きそく,规则,n3
記念,きねん,纪念，留念,n3
休日,きゅうじつ,休息日，假日,n3
急に,きゅうに,突然，紧急,n3
給料,きゅうりょう,工资，薪水,n3
許す,ゆるす,原谅；允许,n3
競争,きょうそう,竞争，比赛,n3
教師,きょうし,教师,n3
鏡,かがみ,镜子,n3
勤める,つとめる,工作，任职,n3
禁煙,きんえん,禁止吸烟；戒烟,n3
金持ち,かねもち,有钱人，富人,n3
苦手,にがて,不善于；难对付，棘手,n3
敬語,けいご,敬语,n3
経済,けいざい,经济,n3
欠席,けっせき,缺席,n3
喧嘩[けんか],けんか,吵架，打架,n3
建つ,たつ,建，盖,n3
研究室,けんきゅうしつ,研究室,n3
研究者,けんきゅうしゃ,研究者,n3
研究所,けんきゅうじょ,研究所,n3
見送り,みおくり,送行；搁置,n3
見物,けんぶつ,观赏，游览,n3
言語,げんご,言语，语言,n3
後輩,こうはい,晚辈；学弟，学妹,n3
交通,こうつう,交通,n3
光る,ひかる,发光；出众,n3
公務員,こうむいん,公务员,n3
向かう,むかう,面向；朝，前往；迎来,n3
工業,こうぎょう,工业,n3
広さ,ひろさ,面积；广博,n3
考え方,かんがえかた,想法,n3
講義,こうぎ,（特指）大学课程,n3
郊外,こうがい,郊外，城外,n3
香り,かおり,芳香,n3
高速道路,こうそくどうろ,高速公路,n3
合格,ごうかく,及格，考上；合格,n3
国語,こくご,国语；日语；语文,n3
国際,こくさい,国际,n3
国内,こくない,国内,n3
差し上げる,さしあげる,敬献，呈送,n3
砂,すな,沙子,n3
済む,すむ,完了；解决；对付过去,n3
材料,ざいりょう,材料，原料；素材,n3
坂,さか,坡，斜坡,n3
参る,まいる,去；来；参拜,n3
山道,やまみち,山路,n3
産業,さんぎょう,产业，工业,n3
賛成,さんせい,赞成，同意,n3
酸っぱい,すっぱい,酸的，酸味的,n3
伺う,うかがう,请教，打听；拜访,n3
刺身,さしみ,生鱼片；生肉片,n3
四角,しかく,四角，方形,n3
四角い,しかくい,四角形的，方形的,n3
四季,しき,四季,n3
始め,はじめ,开头，开始,n3
指輪,ゆびわ,戒指,n3
止む,やむ,停止，中止,n3
私,わたくし,（用于正式场合）我；私，私事,n3
糸,いと,线；丝；线索,n3
事故,じこ,事故,n3
叱る,しかる,批评，训斥,n3
実際,じっさい,事实，实际；的确,n3
写る,うつる,映，照,n3
邪魔,じゃま,妨碍；打扰,n3
主婦,しゅふ,家庭主妇,n3
収入,しゅうにゅう,收入,n3
習慣,しゅうかん,习惯；风俗,n3
臭い,くさい,臭的；可疑的；做作的,n3
週刊,しゅうかん,周刊,n3
集合,しゅうごう,集合,n3
柔らかい,やわらかい,柔软的；温和的,n3
柔道,じゅうどう,柔道,n3
渋滞,じゅうたい,堵车，停滞不前,n3
重要,じゅうよう,重要，要紧,n3
出席,しゅっせき,出席,n3
出入り口,でいりぐち,出入口,n3
召し上がる,めしあがる,吃，喝,n3
小鳥,ことり,小鸟,n3
少々,しょうしょう,少许，稍微,n3
焼ける,やける,燃烧；烧成；晒黑,n3
笑わせる,わらわせる,使发笑；令人看不起,n3
上司,じょうし,上司，上级,n3
乗り換え,のりかえ,换乘,n3
乗り物,のりもの,交通工具,n3
畳,たたみ,草席，草垫，榻榻米,n3
植える,うえる,种，种植,n3
新入生,しんにゅうせい,新生,n3
申し上げる,もうしあげる,（「言う」の謙譲語）说，讲；（「お／ご…申し上げる」の形で）做，为,n3
真ん中,まんなか,正中，正中间,n3
親しい,したしい,亲近的，亲密的,n3
親戚,しんせき,亲戚,n3
人形,にんぎょう,玩偶，人偶,n3
水道,すいどう,自来水管道,n3
随分,ずいぶん,相当，很；不像话，过分,n3
数学,すうがく,数学,n3
政治,せいじ,政治,n3
整理,せいり,整理，整顿；清理，裁减,n3
正解,せいかい,正确答案,n3
西洋,せいよう,西洋，西方,n3
青空,あおぞら,蓝天，青天,n3
赤ちゃん,あかちゃん,婴儿,n3
折る,おる,折，折断,n3
折れる,おれる,折，折断；转弯；让步，迁就,n3
舌,した,舌头,n3
浅い,あさい,浅的；淡的,n3
選手,せんしゅ,选手；运动员,n3
全国,ぜんこく,全国,n3
早退,そうたい,早退,n3
痩せる,やせる,瘦,n3
窓口,まどぐち,窗口,n3
窓側,まどがわ,窗户边,n3
騒ぐ,さわぐ,吵闹；不安；骚乱,n3
贈る,おくる,赠送,n3
太る,ふとる,胖，发福,n3
体操,たいそう,体操,n3
退院,たいいん,出院,n3
台風,たいふう,台风,n3
大雨,おおあめ,大雨,n3
大型,おおがた,大型，巨型,n3
大声,おおごえ,大声,n3
大通り,おおどおり,大马路，大街,n3
大都会,だいとかい,大城市,n3
大部分,だいぶぶん,大部分，大致,n3
棚,たな,棚，架,n3
暖房,だんぼう,暖气（设备）,n3
男女,だんじょ,男女,n3
知り合い,しりあい,熟人，熟识,n3
地球,ちきゅう,地球,n3
致す,いたす,做；致以,n3
中指,なかゆび,中指,n3
中止,ちゅうし,中止，取消,n3
昼間,ひるま,白天，昼间,n3
昼食,ちゅうしょく,午饭,n3
駐車,ちゅうしゃ,停车,n3
駐車場,ちゅうしゃじょう,停车场,n3
超える,こえる,超出，超过，多出,n3
低,てい,低……,n3
底,そこ,底，底部；深处,n3
天気予報,てんきよほう,天气预报,n3
展覧会,てんらんかい,展览会,n3
伝わる,つたわる,传；传播；闻名；传导；传入,n3
電灯,でんとう,电灯,n3
塗る,ぬる,涂，涂抹,n3
唐辛子,とうがらし,辣椒,n3
踏む,ふむ,踩；走上,n3
憧れ,あこがれ,憧憬，向往,n3
読書,どくしょ,看书，读书,n3
内側,うちがわ,内侧,n3
鍋,なべ,锅,n3
燃える,もえる,燃烧；充满,n3
馬,うま,马,n3
拝見,はいけん,拜见，拜读,n3
背中,せなか,背，背部；背后,n3
配る,くばる,分发，分派；用心周到,n3
倍,ばい,一倍；……倍,n3
発音,はつおん,发音,n3
発展,はってん,发展,n3
髪の毛,かみのけ,头发,n3
犯人,はんにん,罪犯,n3
番組,ばんぐみ,（电视或广播）节目,n3
番地,ばんち,（行政区域）……号,n3
疲れ,つかれ,疲劳，疲倦,n3
表す,あらわす,表达，表示，表现,n3
布団,ふとん,被子，褥子,n3
普段,ふだん,平时，平常,n3
復習,ふくしゅう,复习,n3
分かれる,わかれる,分为，划分，分歧,n3
文学,ぶんがく,文学，文艺,n3
文字,もじ,文字,n3
文法,ぶんぽう,语法,n3
文房具,ぶんぼうぐ,文具,n3
聞かせる,きかせる,给……听；中听，动听,n3
変化,へんか,变化,n3
