word,phonetic,translation,tag
昭和,しょうわ,（日本年号）昭和,n1
班,はん,组,n1
高名,こうめい,著名，有名；大名,n1
うやむや,うやむや,含糊，暧昧,n1
一握り,ひとにぎり,一把，少量，一小撮；轻易捏碎，轻松击败,n1
頻発,ひんぱつ,频发，屡次发生,n1
悪循環,あくじゅんかん,恶性循环,n1
イギリス,(ポ) inglez,英国,n1
オーストラリア,Australia,澳大利亚,n1
すき焼き,すきやき,寿喜烧,n1
ずらり,ずらり,（人或物）排列状,n1
ちらり,ちらり,（稍微看到）一闪，一晃；（稍微听到）略微，偶尔,n1
レコード,record,纪录；唱片,n1
魚屋,さかなや,鱼店，水产店,n1
銀,ぎん,银；银色,n1
先々週,せんせんしゅう,上上周,n1
大学院生,だいがくいんせい,硕士生,n1
露,つゆ,露水；短暂，无常,n1
グレー,gray,灰色,n1
ゲート,gate,大门,n1
サンドイッチ,sandwich,三明治；（比喻）被夹在中间,n1
テント,tent,帐篷,n1
延び延び,のびのび,拖拖拉拉,n1
ぱらぱら,ぱらぱら,（雨滴、眼泪等较轻的颗粒状物体）连续掉落状①；快速翻页时发出的声音①；稀稀落落⓪,n1
ボーイフレンド,boyfriend,男朋友；男性朋友,n1
わさび,わさび,绿芥末；山葵，辣根,n1
遺産,いさん,遗产,n1
下宿,げしゅく,寄宿，租房间住，供膳宿的公寓,n1
下着,したぎ,内衣,n1
化学,かがく,化学,n1
歌舞伎,かぶき,歌舞伎,n1
各種,かくしゅ,各种，各样,n1
渇く,かわく,渴；渴望,n1
岸,きし,岸，岸边,n1
気が付く,きがつく,注意到，发觉；清醒过来，苏醒过来,n1
叫ぶ,さけぶ,大声呼喊；呼吁，主张,n1
堅い,かたい,牢固的；肯定的；可靠的,n1
研究員,けんきゅういん,研究员,n1
語彙,ごい,词汇,n1
航空券,こうくうけん,机票,n1
最古,さいこ,最早，最古老,n1
三角,さんかく,三角，三角形,n1
紙くず,かみくず,纸屑，废纸,n1
事項,じこう,项目，事项,n1
主,おも,主要的，重点的,n1
女房,にょうぼう,（自己的）妻子，老婆,n1
小便,しょうべん,小便,n1
焼肉,やきにく,烤肉,n1
赤字,あかじ,赤字，亏空,n1
先年,せんねん,前几年,n1
扇風機,せんぷうき,电风扇,n1
存じる,ぞんじる,想，打算，认为；知道，认识,n1
大地,だいち,大地,n1
淡い,あわい,浅的，淡的；些微,n1
暖める,あたためる,弄暖和,n1
地理,ちり,地理；地理情况,n1
長ねぎ,ながねぎ,葱，大葱,n1
通じる,つうじる,通；理解；弄通；通过，经过,n1
島々,しまじま,群岛；各个岛屿,n1
年賀状,ねんがじょう,贺年卡,n1
麦,むぎ,麦，麦子,n1
髭[ひげ],ひげ,胡子；（动物的）须,n1
編み物,あみもの,编织物，编织；毛线活,n1
夜景,やけい,夜景,n1
有名人,ゆうめいじん,名人,n1
イコール,equal,等于；等号,n1
いたずら,いたずら,捉弄，恶作剧,n1
イヤリング,earring,耳环,n1
かわいがる,かわいがる,喜爱，疼爱,n1
こっそり,こっそり,悄悄地，偷偷地,n1
スマート,smart,潇洒，俊俏，苗条；高性能，尖端,n1
ゼミナール,(ド) seminar,（大学）研讨会,n1
ダブル,double,双重的，双倍的,n1
だます,だます,欺骗；哄,n1
