word,phonetic,translation,tag
どうやって,どうやって,怎么（做）,n5
どこ,どこ,哪里,n5
どちら,どちら,哪里；哪个；哪位,n5
どっち,どっち,哪边；哪个，哪个人,n5
とても,とても,很，非常,n5
どなた,どなた,谁，哪位,n5
どの,どの,哪一个,n5
どれ,どれ,哪一个,n5
どれぐらい,どれぐらい,多少,n5
どんな,どんな,什么样的，哪种,n5
ない,ない,没有，缺少,n5
ナイフ,knife,小刀；餐刀,n5
ながら,ながら,一边……一边……,n5
なぜ,なぜ,为什么，为何,n5
など,など,……等，……之类的,n5
にぎやか,にぎやか,热闹，繁华,n5
ニュース,news,新闻,n5
ぬるい,ぬるい,（茶、洗澡水等没有达到预期的温度）温热的；不严格的,n5
ねえ,ねえ,（打招呼时）喂，唉,n5
ノート,note,笔记本，备忘录；记下来,n5
パーティー,party,派对,n5
はい,はい,是的，对的,n5
バス,bus,巴士，公交车,n5
バナナ,banana,香蕉,n5
パン,(ポ) pão,面包,n5
プール,pool,游泳池,n5
ページ,page,页，页面,n5
ベッド,bed,床,n5
ペン,pen,笔,n5
ボールペン,ball pen,圆珠笔,n5
ホテル,hotel,（西式）宾馆，旅馆，酒店,n5
まず,まず,首先,n5
まずい,まずい,难吃的；不好，糟糕,n5
また,また,又，再；同样；另外，下次,n5
まだ,まだ,还没；还,n5
まっすぐ,まっすぐ,笔直；直接,n5
みんな,みんな,大家，诸位；全部,n5
メートル,metre,米,n5
メール,mail,（电子）邮件,n5
もう,もう,已经；马上；再,n5
もしもし,もしもし,（打电话时）喂；（对不认识的人的称呼）喂,n5
もっと,もっと,更加,n5
ゆうべ,ゆうべ,昨晚,n5
ゆっくり,ゆっくり,缓慢地；悠闲地，舒服地,n5
ラーメン,らーめん,拉面,n5
ラジオ,radio,收音机；广播,n5
りんご,りんご,苹果,n5
レストラン,(フ) restaurant,西餐厅，饭店,n5
ワイシャツ,white shirt,男式衬衫,n5
安い,やすい,便宜的,n5
暗い,くらい,黑的；发暗的；阴沉的,n5
椅子,いす,椅子；地位,n5
医者,いしゃ,医生,n5
一つ,ひとつ,一个；一岁,n5
一緒,いっしょ,一起；同样的；合在一起,n5
一人,ひとり,一个人；独自,n5
一日,いちにち,一天；一整天；某一天,n5
一日,ついたち,一号，一个月的第一天,n5
一番,いちばん,第一，最好；最,n5
飲み物,のみもの,饮料,n5
飲む,のむ,喝,n5
右,みぎ,右,n5
雨,あめ,雨，雨天,n5
映画,えいが,电影,n5
映画館,えいがかん,电影院，剧院,n5
泳ぐ,およぐ,游泳,n5
英語,えいご,英语,n5
駅,えき,车站,n5
円,えん,圆形；日元,n5
遠い,とおい,远的,n5
鉛筆,えんぴつ,铅笔,n5
塩,しお,食盐,n5
汚い,きたない,脏的；杂乱的；卑鄙的,n5
奥さん,おくさん,您妻子，夫人，太太,n5
横,よこ,横；侧面，旁边；躺下,n5
黄色い,きいろい,黄色的,n5
音楽,おんがく,音乐,n5
下,した,下面；里面；（年龄、地位、程度、能力等）低,n5
何,なに,什么,n5
何,なん,什么,n5
何か,なにか,（不确定的）什么，某些,n5
夏,なつ,夏天，夏季,n5
夏休み,なつやすみ,暑假,n5
家,いえ,房子；家庭,n5
うち,うち,家，家庭，自己家（家人）,n5
家族,かぞく,家族，家属,n5
果物,くだもの,水果,n5
歌,うた,歌曲,n5
歌う,うたう,唱歌,n5
火曜日,かようび,周二,n5
花,はな,花,n5
荷物,にもつ,行李，货物,n5
会う,あう,见面；偶遇,n5
会社,かいしゃ,公司,n5
会社員,かいしゃいん,公司职员,n5
海,うみ,大海，海洋,n5
皆さん,みなさん,各位，诸位,n5
絵,え,画，绘画,n5
開ける,あける,打开，翻开；开张,n5
階段,かいだん,楼梯，台阶,n5
外,そと,外边，外面，外部,n5
外国,がいこく,外国，国外,n5
外国人,がいこくじん,外国人,n5
学校,がっこう,学校,n5
学生,がくせい,学生,n5
楽しい,たのしい,愉快的，快乐的,n5
掛かる,かかる,花费；悬挂；上锁,n5
掛ける,かける,挂；带上；打（电话）；花费；坐；上锁,n5
寒い,さむい,（天气）冷的,n5
漢字,かんじ,汉字,n5
甘い,あまい,甜的；宽松的，不严厉的,n5
丸い,まるい,圆的；圆滑的,n5
眼鏡,めがね,眼镜,n5
顔,かお,脸；表情；面子；人,n5
危ない,あぶない,危险的,n5
机,つくえ,桌子，书桌,n5
帰り,かえり,回来，回程,n5
帰る,かえる,回去,n5
起きる,おきる,站起来；起床；没睡觉；发生,n5
喫茶店,きっさてん,咖啡厅，茶馆,n5
休む,やすむ,休息；睡觉；缺席,n5
牛乳,ぎゅうにゅう,牛奶,n5
去年,きょねん,去年,n5
魚,さかな,鱼，鱼类,n5
強い,つよい,强的，激烈的,n5
教える,おしえる,教，传授；告诉,n5
教室,きょうしつ,教室；培训班,n5
狭い,せまい,窄的，狭小的；狭隘的,n5
近い,ちかい,近的，靠近的,n5
近く,ちかく,附近；将近，几乎；不久,n5
金,かね,金钱，钱,n5
金曜日,きんようび,周五,n5
銀行,ぎんこう,银行,n5
九つ,ここのつ,九个；九岁,n5
九日,ここのか,九号；九天,n5
空,そら,天空,n5
靴,くつ,鞋子,n5
靴下,くつした,袜子,n5
兄,あに,（自己的）哥哥，姐夫,n5
兄弟,きょうだい,兄弟姐妹,n5
軽い,かるい,轻的；轻微的；轻快的；简单的；轻浮的,n5
結婚,けっこん,结婚,n5
月曜日,げつようび,周一,n5
建物,たてもの,建筑物，房屋,n5
犬,いぬ,狗,n5
見る,みる,看,n5
鍵,かぎ,钥匙；锁；关键,n5
元気,げんき,精神，活力；有精神,n5
玄関,げんかん,玄关处，门口,n5
言う,いう,说话，告诉；叫作,n5
言葉,ことば,语言，话，词,n5
古い,ふるい,古老的，旧的,n5
呼ぶ,よぶ,呼唤；叫来；叫作；邀请,n5
五つ,いつつ,五个；五岁,n5
五日,いつか,五号；五天,n5
午後,ごご,下午，午后,n5
午前,ごぜん,上午,n5
後,あと,后面；之后,n5
後ろ,うしろ,后面；背后,n5
交差点,こうさてん,十字路口,n5
交番,こうばん,警亭，派出所,n5
公園,こうえん,公园,n5
厚い,あつい,厚的；（人情）深厚的,n5
口,くち,嘴；言语；出入口,n5
向こう,むこう,正面；对面；对方；（远处看不到的）那边,n5
好き,すき,喜欢,n5
広い,ひろい,宽阔的；广泛的；宽广的,n5
紅茶,こうちゃ,红茶,n5
行く,いく,去，往，到,n5
降りる,おりる,下降；下（车）,n5
降る,ふる,下（雨、雪等）,n5
高い,たかい,高的；贵的,n5
国,くに,国家；家乡,n5
黒,くろ,黑色,n5
黒い,くろい,黑色的；脏的；邪恶的,n5
今,いま,现在，当前；立刻,n5
今月,こんげつ,这个月,n5
今週,こんしゅう,这周,n5
今朝,けさ,今天早上,n5
今日,きょう,今天,n5
今年,ことし,今年,n5
今晩,こんばん,今晚，今夜,n5
困る,こまる,感到困难；为难,n5
左,ひだり,左，左边,n5
左手,ひだりて,左手,n5
砂糖,さとう,砂糖,n5
座る,すわる,坐；居某地位,n5
再来週,さらいしゅう,下下周，下下星期,n5
最後,さいご,最后,n5
細い,ほそい,细的，窄的；小的，弱的,n5
財布,さいふ,钱包,n5
作る,つくる,制作；做,n5
作文,さくぶん,作文,n5
雑誌,ざっし,杂志,n5
皿,さら,盘子，碟子,n5
三つ,みっつ,三个；三岁,n5
三日,みっか,三号，三日；三天,n5
傘,かさ,雨伞,n5
山,やま,山,n5
散歩,さんぽ,散步,n5
仕事,しごと,工作，职业,n5
使う,つかう,使用；花费,n5
四つ,よっつ,四个；四岁,n5
四日,よっか,四天；四号,n5
始まる,はじまる,开始,n5
子供,こども,小孩；孩子,n5
止まる,とまる,停止,n5
私,わたし,我,n5
紙,かみ,纸,n5
試験,しけん,考试；测验,n5
歯,は,牙，牙齿,n5
持つ,もつ,拿；带着；拥有，持有,n5
時,とき,时间；时期；时候；时机,n5
時々,ときどき,有时，偶尔,n5
時間,じかん,时间，时刻,n5
時計,とけい,钟，表,n5
次,つぎ,下一个，下面,n5
耳,みみ,耳朵；听力；把手，边角,n5
自転車,じてんしゃ,自行车,n5
自分,じぶん,自己；我,n5
辞書,じしょ,词典，辞典，字典,n5
七つ,ななつ,七个；七岁,n5
七日,なのか,七号；七天,n5
質問,しつもん,问题，提问,n5
写真,しゃしん,照片,n5
社員,しゃいん,公司职员,n5
車,くるま,车,n5
借りる,かりる,（从别人那里）借，租；借助,n5
若い,わかい,年轻的；年幼的；幼稚的,n5
取る,とる,拿；获得,n5
手,て,手，手臂；把手；……的人,n5
手紙,てがみ,书信,n5
すし,すし,寿司,n5
授業,じゅぎょう,课，上课,n5
秋,あき,秋天,n5
終わる,おわる,完，结束；……完,n5
習う,ならう,（接受教导并）学习，练习,n5
週,しゅう,周，礼拜,n5
住む,すむ,居住,n5
十日,とおか,十号；十天,n5
重い,おもい,重的；沉重的；严重的,n5
宿題,しゅくだい,作业,n5
出す,だす,拿出，取出；上交，提出；邮寄,n5
出る,でる,出去；显出；出发；参加；接电话,n5
出口,でぐち,出口,n5
春,はる,春天，春季,n5
初めて,はじめて,初次，第一次,n5
所,ところ,场所，地方,n5
暑い,あつい,（天气）热的,n5
書く,かく,写,n5
女,おんな,女性，女人,n5
女の子,おんなのこ,女孩子；年轻女性,n5
